iter	Passed	Remaining
390	1435	400
391	1438	396
392	1441	392
393	1445	388
394	1448	385
395	1452	381
396	1455	377
397	1459	373
398	1463	370
399	1466	366
400	1470	362
401	1473	359
402	1477	355
403	1480	351
404	1484	348
405	1487	344
406	1491	340
407	1495	337
408	1498	333
409	1501	329
410	1505	325
411	1508	322
412	1512	318
413	1516	314
414	1519	311
415	1523	307
416	1526	303
417	1530	300
418	1533	296
419	1537	292
420	1540	289
421	1544	285
422	1547	281
423	1551	278
424	1555	274
425	1558	270
426	1561	267
427	1565	263
428	1568	259
429	1572	255
430	1575	252
431	1579	248
432	1582	244
433	1586	241
434	1589	237
435	1592	233
436	1596	230
437	1600	226
438	1603	222
439	1607	219
440	1611	215
441	1614	211
442	1618	208
443	1621	204
444	1624	200
445	1627	197
446	1630	193
447	1634	189
448	1638	186
449	1641	182
450	1645	178
451	1649	175
452	1652	171
453	1656	167
454	1659	164
455	1663	160
456	1667	156
457	1670	153
458	1673	149
459	1677	145
460	1680	142
461	1683	138
462	1687	134
463	1690	131
464	1694	127
465	1697	123
466	1701	120
467	1705	116
468	1709	112
469	1712	109
470	1716	105
471	1719	101
472	1723	98
473	1726	94
474	1730	91
475	1733	87
476	1736	83
477	1740	80
478	1743	76
479	1747	72
480	1750	69
481	1754	65
482	1757	61
483	1761	58
484	1764	54
485	1768	50
486	1772	47
487	1775	43
488	1779	40
489	1782	36
490	1786	32
491	1789	29
492	1793	25
493	1796	21
494	1800	18
495	1803	14
496	1807	10
497	1811	7
498	1814	3
499	1818	0
