iter	RMSE
0	2.932491335
1	2.658260447
2	2.409547195
3	2.187585829
4	1.987319718
5	1.806722697
6	1.642241024
7	1.493084401
8	1.356799767
9	1.23645062
10	1.126683875
11	1.026711545
12	0.9372182745
13	0.8558805265
14	0.7813905706
15	0.7135027568
16	0.6538932446
17	0.5977118186
18	0.5478957163
19	0.5022724576
20	0.4620455719
21	0.4253519417
22	0.3917271581
23	0.3622049936
24	0.3352798228
25	0.3114874686
26	0.2906056799
27	0.2717453055
28	0.2535033415
29	0.2385806577
30	0.2251290077
31	0.212624063
32	0.2010932098
33	0.1906093172
34	0.1816177937
35	0.1739417158
36	0.1663653165
37	0.1600626982
38	0.1542724014
39	0.1493302771
40	0.1449102715
41	0.1406412049
42	0.1367085134
43	0.1335049284
44	0.1304271964
45	0.1276379695
46	0.124944467
47	0.1215873045
48	0.1186816678
49	0.1168722709
50	0.1148572788
51	0.1128611877
52	0.1110796342
53	0.1097532513
54	0.107513943
55	0.1061962733
56	0.1050981829
57	0.1041673873
58	0.1018846642
59	0.1005705602
60	0.09977870173
61	0.09915939364
62	0.09804277245
63	0.09602534575
64	0.09483915941
65	0.09419954132
66	0.09332042517
67	0.09225361432
68	0.09118562899
69	0.09025502522
70	0.08975562945
71	0.08883659129
72	0.08818928231
73	0.08731037501
74	0.08653898386
75	0.08572476697
76	0.08538669121
77	0.08484986469
78	0.08444778881
79	0.08364144035
80	0.08261682862
81	0.08122399092
82	0.08062414957
83	0.08009548543
84	0.07945305607
85	0.07884977861
86	0.07844373759
87	0.07742278103
88	0.07641461824
89	0.07544020405
90	0.0749094279
91	0.07462427927
92	0.07388558748
93	0.07350844011
94	0.07289620596
95	0.07248336937
96	0.07215671005
97	0.07159406661
98	0.0709619659
99	0.07026896488
100	0.06997169449
101	0.06970033951
102	0.06949592933
103	0.06875898543
104	0.06819886856
105	0.06794525387
106	0.06773559806
107	0.0670045267
108	0.06650446384
109	0.06603633782
110	0.06557752256
111	0.06508707138
112	0.06436280934
113	0.06409918696
114	0.06377125758
115	0.06325166557
116	0.06304282834
117	0.06260310353
118	0.06220719839
119	0.06143852289
120	0.06126371523
121	0.06077976405
122	0.06053081942
123	0.06024478534
124	0.05974516855
125	0.05949011051
126	0.05914701371
127	0.05869675699
128	0.05846004443
129	0.05786237404
130	0.05750692837
131	0.05700995499
132	0.05671945405
133	0.05660743227
134	0.05614621285
135	0.05578677421
136	0.05557719153
137	0.05545247071
138	0.05516851616
139	0.05487264026
140	0.05453292
141	0.05444485609
142	0.05424728519
143	0.05391898284
144	0.05367717607
145	0.05331687839
146	0.0531777221
147	0.0529057426
148	0.05264497003
149	0.05257876611
150	0.0522477825
151	0.05192875373
152	0.05156453365
153	0.05140993281
154	0.05127661676
155	0.05112394703
156	0.05084603541
157	0.05075275998
158	0.0505419517
159	0.05036081482
160	0.0500552531
161	0.04980076
162	0.04966578316
163	0.04935320883
164	0.04910345224
165	0.04882668777
166	0.04858025291
167	0.04851638685
168	0.0483740403
169	0.0482349296
170	0.04803299979
171	0.04774818587
172	0.04757062879
173	0.04731909166
174	0.04706698196
175	0.04681819205
176	0.04662871278
177	0.0464641877
178	0.04620419115
179	0.04596975691
180	0.04577518384
181	0.0455643081
182	0.04539306957
183	0.04511678818
184	0.04500106424
185	0.04480289674
186	0.04462856353
187	0.04439444362
188	0.0442750272
189	0.04413105683
190	0.04396450153
191	0.04374332711
192	0.04353520881
193	0.04330618699
194	0.04319237235
195	0.042990584
196	0.04284460504
197	0.04266884456
198	0.04257383983
199	0.04248163186
200	0.0423305949
201	0.04217940967
202	0.04210226947
203	0.04201434781
204	0.04184029806
205	0.04164132226
206	0.04146578222
207	0.04129324567
208	0.04123286676
209	0.04111859977
210	0.04095121879
211	0.0407909076
212	0.04064102041
213	0.04058264909
214	0.040442201
215	0.04039309919
216	0.04022704366
217	0.04009944017
218	0.03998326869
219	0.03989142224
220	0.03974544525
221	0.03962539103
222	0.03951632725
223	0.03942995827
224	0.03930337043
225	0.03924381924
226	0.03903138637
227	0.03896664226
228	0.03877957799
229	0.03865403336
230	0.03855515314
231	0.03838825575
232	0.03828160583
233	0.03818107589
234	0.03805301627
235	0.03789016995
236	0.03766942998
237	0.0375692264
238	0.03748178844
239	0.03737336198
240	0.03726268067
241	0.03723542275
242	0.03713088365
243	0.03701015456
244	0.03690008665
245	0.03684149858
246	0.03680553192
247	0.03669118046
248	0.03657464092
249	0.03647260544
250	0.03638392192
251	0.03634211734
252	0.03624649713
253	0.03618171167
254	0.03615944464
255	0.03599209496
256	0.03589314387
257	0.03581210913
258	0.03571523335
259	0.03561257855
260	0.0355444632
261	0.03542448912
262	0.03527800538
263	0.03519443049
264	0.03509314283
265	0.03499768936
266	0.03491872503
267	0.03486350903
268	0.03484166442
269	0.03482687739
270	0.03479101505
271	0.03462556204
